x
1 4.378017
2 4.595611
3 5.211026
4 4.705805
5 4.641796
6 4.594503
7 5.192986
8 4.509933
9 4.446853
10 5.250722
11 2.515995
12 3.845263
13 4.584057
14 3.956119
15 3.984205
16 3.696049
17 3.811264
18 4.640534
19 4.269976
20 4.480395
21 4.794096
22 4.165805
23 4.307249
24 4.196479
25 4.327483
26 3.781321
27 3.531827
28 6.117702
29 4.841899
30 5.649396
31 7.024549
32 6.134162
33 6.176668
34 3.885693
35 3.982588
36 4.285918
37 4.539756
38 3.69294
39 4.853587
40 4.488541
41 4.472327
42 6.313469
43 5.379838
44 8.017502
45 7.430094
46 5.531998
47 8.314323
48 3.250669
49 6.72509
50 2.692091
